env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 2.0000
NumCells_XYZ 100 100 20
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 2.5000 7.4286 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
1 43 16 0 -3 1354 -2
1 43 17 0 -3 1354 -6
1 43 18 0 -4 1355 -12
1 43 19 0 -7 1152 -37
1 44 0 0 0 1460 -1
1 44 19 0 -11 1275 6
1 45 0 0 -11 1462 -7
1 45 1 0 0 1363 -1
1 45 2 0 0 1363 -1
1 45 3 0 0 1364 0
1 45 4 0 0 1364 0
1 45 5 0 0 1364 0
1 45 6 0 0 1364 0
1 45 7 0 0 1364 0
1 45 8 0 0 1365 0
1 45 9 0 0 1365 0
1 45 10 0 0 1364 0
1 45 11 0 0 1364 0
1 45 12 0 0 1364 0
1 45 13 0 0 1364 0
1 45 14 0 -1 1363 1
1 45 15 0 -1 1363 2
1 45 16 0 -1 1362 -2
1 45 17 0 -2 1362 -5
1 45 18 0 -3 1363 -10
1 45 19 0 -7 1157 -37
1 46 0 0 3 1469 0
1 46 19 0 -9 1277 5
1 47 0 0 -5 1462 -2
1 47 1 0 5 1363 0
1 47 2 0 4 1363 0
1 47 3 0 4 1363 0
1 47 4 0 5 1363 0
1 47 5 0 5 1363 0
1 47 6 0 5 1363 0
1 47 7 0 6 1363 0
1 47 8 0 6 1363 0
1 47 9 0 6 1363 0
1 47 10 0 6 1363 0
1 47 11 0 6 1363 0
1 47 12 0 5 1363 0
1 47 13 0 5 1363 0
1 47 14 0 4 1363 0
1 47 15 0 3 1363 0
1 47 16 0 2 1363 -3
1 47 17 0 1 1363 -7
1 47 18 0 0 1364 -14
1 47 19 0 -6 1157 -37
1 48 0 0 0 1463 -1
1 48 19 0 -10 1276 5
1 49 0 0 -11 1470 -7
